time,seconds_elapsed,z,y,x
1761915130480807700,0.0788076171875,0.13639593124389648,-0.00917672086507082,-0.47111424803733826
1761915130490862600,0.088862548828125,0.11030520498752594,0.07843302190303802,-0.46271252632141113
1761915130500916700,0.098916748046875,0.07383614033460617,0.12778006494045258,-0.45151498913764954
1761915130510971000,0.108970947265625,0.02835121378302574,0.1630120873451233,-0.44295427203178406
1761915130521024800,0.119024658203125,-0.027575701475143433,0.194376140832901,-0.4307346045970917
1761915130531079700,0.12907958984375,-0.07945328205823898,0.24164138734340668,-0.41114306449890137
1761915130541133600,0.139133544921875,-0.12056076526641846,0.28496435284614563,-0.4012661874294281
1761915130551187700,0.149187744140625,-0.142561137676239,0.296515554189682,-0.40588200092315674
1761915130561241600,0.15924169921875,-0.13945482671260834,0.2545015215873718,-0.4106426537036896
1761915130571295700,0.169295654296875,-0.12493447959423065,0.18644417822360992,-0.3981580138206482
1761915130581350700,0.1793505859375,-0.10740155726671219,0.14717213809490204,-0.3587978482246399
1761915130591404800,0.18940478515625,-0.08376999944448471,0.11744353920221329,-0.2941828966140747
1761915130601458700,0.199458740234375,-0.05349624902009964,0.09844747930765152,-0.20089182257652283
1761915130611512600,0.2095126953125,0.0018037590198218822,0.13664573431015015,-0.08552422374486923
1761915130621567700,0.219567626953125,0.0890989825129509,0.24385100603103638,0.030596258118748665
1761915130631621600,0.22962158203125,0.20015466213226318,0.3925134539604187,0.1531916856765747
1761915130641675800,0.23967578125,0.31954577565193176,0.553058385848999,0.24159477651119232
1761915130651729700,0.249729736328125,0.39586105942726135,0.5683667659759521,0.23057116568088531
1761915130661783800,0.25978369140625,0.4057981073856354,0.2360926866531372,0.08338464051485062
1761915130671838700,0.269838623046875,0.335631787776947,-0.24971209466457367,-0.10170985013246536
1761915130681892600,0.279892578125,0.2523483633995056,-0.46052101254463196,-0.20960861444473267
1761915130691946800,0.28994677734375,0.18848095834255219,-0.23600001633167267,-0.2462976574897766
1761915130702000600,0.300000732421875,0.19575539231300354,0.3196602761745453,-0.2443346381187439
1761915130712054800,0.3100546875,0.20563384890556335,0.9103885889053345,-0.3239317238330841
1761915130722109700,0.320109619140625,0.15578293800354004,1.4328349828720093,-0.518096387386322
1761915130732163600,0.33016357421875,0.02972087822854519,1.9179884195327759,-0.7404820919036865
1761915130742217700,0.3402177734375,-0.09686928987503052,2.345899820327759,-0.8617411255836487
1761915130752271600,0.350271728515625,-0.11601901054382324,2.6274170875549316,-0.7940579652786255
1761915130762326800,0.360326904296875,0.03327779471874237,2.660738229751587,-0.548494279384613
1761915130772380700,0.370380615234375,0.3382347822189331,2.3531837463378906,-0.2664293050765991
1761915130782434800,0.380434814453125,0.826151430606842,1.7272977828979492,-0.11465494334697723
1761915130792488400,0.390488525390625,1.4933487176895142,1.0721931457519531,0.030109433457255363
1761915130802542600,0.40054248046875,1.6367995738983154,0.5858171582221985,0.03231053426861763
1761915130812597800,0.41059765625,1.5751169919967651,0.45731401443481445,-0.06264474242925644
1761915130822651600,0.420651611328125,1.497173547744751,0.34208250045776367,-0.17137867212295532
1761915130832705800,0.430705810546875,1.461246371269226,0.15563806891441345,-0.1874050498008728
1761915130842759700,0.440759765625,1.3745684623718262,0.18977339565753937,-0.15196742117404938
1761915130852814600,0.450814697265625,1.1091346740722656,0.38628220558166504,-0.09405139833688736
1761915130862868700,0.46086865234375,0.6920218467712402,0.5684618353843689,-0.006960437633097172
1761915130872922600,0.470922607421875,0.28818997740745544,0.6695247888565063,0.10416474938392639
1761915130882976800,0.480976806640625,-0.016928117722272873,0.5453522801399231,0.22200164198875427
1761915130893030700,0.49103076171875,-0.17627036571502686,0.12329849600791931,0.26274988055229187
1761915130903085800,0.5010859375,-0.2778260111808777,-0.3372936248779297,0.17877933382987976
1761915130913139500,0.511139404296875,-0.4054305851459503,-0.64406418800354,-0.024440361186861992
1761915130923193600,0.521193603515625,-0.55230313539505,-0.837652325630188,-0.2866695821285248
1761915130933247500,0.53124755859375,-0.6903771162033081,-0.882491946220398,-0.5268523693084717
1761915130943301600,0.541301513671875,-0.8179914951324463,-0.7187272310256958,-0.6923683285713196
1761915130953356800,0.551356689453125,-0.935014009475708,-0.4085709750652313,-0.7547094821929932
1761915130963410700,0.56141064453125,-1.004729986190796,0.025948243215680122,-0.6945074200630188
1761915130973464800,0.57146484375,-0.9935050010681152,0.46166136860847473,-0.5188698172569275
1761915130983518700,0.581518798828125,-0.9187804460525513,0.7707433104515076,-0.253368079662323
1761915130993573600,0.59157373046875,-0.8366352319717407,0.9092178344726562,0.04951029643416405
1761915131003627800,0.601627685546875,-0.7590821385383606,0.9155306220054626,0.32664015889167786
1761915131013681700,0.611681640625,-0.6703570485115051,0.8159483671188354,0.5584520697593689
1761915131023735800,0.62173583984375,-0.562913715839386,0.6606897711753845,0.7264890074729919
1761915131033790500,0.63179052734375,-0.4412897825241089,0.39964592456817627,0.7998681664466858
1761915131043844600,0.6418447265625,-0.3258683979511261,0.08065516501665115,0.7893742322921753
1761915131053898500,0.6518984375,-0.2546069920063019,-0.20659978687763214,0.696668803691864
1761915131063952600,0.66195263671875,-0.21466755867004395,-0.41822654008865356,0.5434505343437195
1761915131074006800,0.6720068359375,-0.2006220519542694,-0.5859689116477966,0.3792969882488251
1761915131084061700,0.682061767578125,-0.20716437697410583,-0.7201054096221924,0.24909637868404388
1761915131094115800,0.69211572265625,-0.25245141983032227,-0.838395357131958,0.16313911974430084
1761915131104169700,0.702169677734375,-0.35471200942993164,-1.0365102291107178,0.11862172186374664
