time,seconds_elapsed,z,y,x
1761914291573148400,0.0701484375,-0.8505678176879883,-0.49671149253845215,-0.08274734020233154
1761914291583205400,0.080205322265625,-0.8028373122215271,-0.43072476983070374,-0.09097065031528473
1761914291593261600,0.090261474609375,-0.7734112739562988,-0.3449150323867798,-0.11617161333560944
1761914291603317500,0.1003173828125,-0.7495051622390747,-0.23372700810432434,-0.13974884152412415
1761914291613373400,0.11037353515625,-0.715567946434021,-0.12100604921579361,-0.14300775527954102
1761914291623429600,0.1204296875,-0.6750175952911377,-0.0057465690188109875,-0.10812007635831833
1761914291633485600,0.130485595703125,-0.630543053150177,0.09740564972162247,-0.02424754947423935
1761914291643541500,0.14054150390625,-0.5967020392417908,0.17727091908454895,0.08926516771316528
1761914291653597400,0.150597412109375,-0.5806018710136414,0.23156611621379852,0.19855330884456635
1761914291663653400,0.1606533203125,-0.575702965259552,0.2772614359855652,0.29816538095474243
1761914291673709300,0.170709228515625,-0.5593692660331726,0.3211609721183777,0.3742412328720093
1761914291683765000,0.180764892578125,-0.5024945735931396,0.37750229239463806,0.41476815938949585
1761914291693821000,0.190821044921875,-0.44951683282852173,0.42878517508506775,0.4106346666812897
1761914291703876900,0.200876953125,-0.42289745807647705,0.4528377950191498,0.3648410737514496
1761914291713933000,0.21093310546875,-0.40862664580345154,0.43038201332092285,0.29279085993766785
1761914291723988700,0.22098876953125,-0.4205179214477539,0.3520704209804535,0.20804853737354279
1761914291734044700,0.231044677734375,-0.4602658748626709,0.22936634719371796,0.13519351184368134
1761914291744100900,0.241100830078125,-0.5159832239151001,0.09426045417785645,0.08529678732156754
1761914291754156800,0.25115673828125,-0.5682789087295532,-0.00404534162953496,0.05200008302927017
1761914291764212700,0.261212646484375,-0.5994237661361694,-0.04670305550098419,0.04151228815317154
1761914291774269000,0.27126904296875,-0.6135294437408447,-0.05799299478530884,0.04484283924102783
1761914291784324900,0.281324951171875,-0.6177223324775696,-0.0430433414876461,0.06046627461910248
1761914291794380800,0.291380859375,-0.6115992069244385,-0.03477076441049576,0.07915899902582169
1761914291804437800,0.301437744140625,-0.6065344214439392,-0.0486796535551548,0.10401161760091782
1761914291814494000,0.311493896484375,-0.6010791659355164,-0.09075786918401718,0.14439046382904053
1761914291824550000,0.3215498046875,-0.5991814136505127,-0.14819931983947754,0.19764409959316254
1761914291834605800,0.331605712890625,-0.6033966541290283,-0.21678370237350464,0.25188738107681274
1761914291844662000,0.341662109375,-0.5972111821174622,-0.2625277638435364,0.30978554487228394
1761914291854718000,0.351718017578125,-0.5846844911575317,-0.28004950284957886,0.3548997640609741
1761914291864774000,0.36177392578125,-0.5596446394920349,-0.28166523575782776,0.3943720757961273
1761914291874829800,0.371829833984375,-0.5333091616630554,-0.27607738971710205,0.42025667428970337
1761914291884885800,0.3818857421875,-0.507926881313324,-0.27217185497283936,0.44239872694015503
1761914291894941700,0.391941650390625,-0.48676592111587524,-0.27852723002433777,0.4629066586494446
1761914291904998000,0.401997802734375,-0.4755137860774994,-0.2977350056171417,0.4802084267139435
1761914291915053800,0.4120537109375,-0.4727853834629059,-0.32173967361450195,0.49096038937568665
1761914291925109800,0.42210986328125,-0.47845658659935,-0.3432774543762207,0.4960821866989136
1761914291935166000,0.432166015625,-0.4961269199848175,-0.36189669370651245,0.49035772681236267
1761914291945222000,0.442221923828125,-0.5035851001739502,-0.3757810890674591,0.4716724455356598
1761914291955277800,0.45227783203125,-0.5116060376167297,-0.3753216862678528,0.4447694718837738
1761914291965334000,0.462333984375,-0.5134598612785339,-0.37461036443710327,0.40681275725364685
1761914291975390000,0.472389892578125,-0.5117501020431519,-0.35845720767974854,0.3638181686401367
1761914291985446000,0.48244580078125,-0.5084152817726135,-0.33409276604652405,0.33000800013542175
1761914291995502000,0.492502197265625,-0.4997922480106354,-0.3153446316719055,0.3033345639705658
1761914292005557800,0.502557861328125,-0.4930661618709564,-0.29611048102378845,0.2979145050048828
1761914292015613700,0.51261376953125,-0.4944984018802643,-0.28935033082962036,0.3079375922679901
1761914292025670700,0.522670654296875,-0.4947250485420227,-0.31435179710388184,0.32145926356315613
1761914292035726800,0.532726806640625,-0.4956126809120178,-0.3457808494567871,0.327146977186203
1761914292045782800,0.54278271484375,-0.5045126676559448,-0.3976554870605469,0.3209577798843384
1761914292055838700,0.552838623046875,-0.5323398113250732,-0.4404365122318268,0.283967524766922
1761914292065895000,0.56289501953125,-0.5588070750236511,-0.45695608854293823,0.229122132062912
1761914292075950800,0.572950927734375,-0.5838626623153687,-0.44399288296699524,0.16622892022132874
1761914292086006800,0.5830068359375,-0.6002330780029297,-0.40982693433761597,0.11046845465898514
1761914292096063000,0.59306298828125,-0.6016906499862671,-0.3717306852340698,0.06653694808483124
1761914292106119000,0.603118896484375,-0.5968484878540039,-0.32311999797821045,0.03711727634072304
1761914292116174800,0.6131748046875,-0.5960207581520081,-0.28231877088546753,0.009488310664892197
1761914292126231000,0.62323095703125,-0.6027417778968811,-0.2561843693256378,-0.0076179723255336285
1761914292136287000,0.633286865234375,-0.6084891557693481,-0.22588185966014862,-0.0202778410166502
1761914292146343000,0.643343017578125,-0.6112242341041565,-0.2079468071460724,-0.02540229633450508
1761914292156398800,0.65339892578125,-0.610667884349823,-0.20925894379615784,-0.03202557563781738
1761914292166454800,0.663454833984375,-0.6080875396728516,-0.21252398192882538,-0.03762407600879669
1761914292176510700,0.6735107421875,-0.6033745408058167,-0.2124001383781433,-0.04476108029484749
1761914292186567000,0.68356689453125,-0.5976612567901611,-0.2207246571779251,-0.04854436591267586
