time,seconds_elapsed,z,y,x
1761915602298113800,0.11711376953125,0.01927988789975643,-0.03043805994093418,-0.09517145901918411
1761915602308167700,0.127167724609375,0.026633726432919502,-0.017614806070923805,-0.11839696019887924
1761915602318221800,0.137221923828125,0.032608527690172195,0.010980885475873947,-0.12779951095581055
1761915602328275700,0.147275634765625,0.03424477204680443,0.03599362447857857,-0.11450560390949249
1761915602338329900,0.157329833984375,0.032122232019901276,0.0529923141002655,-0.07854440808296204
1761915602348383700,0.1673837890625,0.02406090497970581,0.04130550101399422,-0.04148617014288902
1761915602358438000,0.17743798828125,0.014600025489926338,0.009787523187696934,0.001413893885910511
1761915602368491800,0.18749169921875,0.0071278903633356094,-0.021482251584529877,0.03590996935963631
1761915602378545700,0.197545654296875,0.015940289944410324,-0.035719241946935654,0.04972005635499954
1761915602388599600,0.207599609375,0.03341167792677879,-0.04312603175640106,0.057629697024822235
1761915602398653700,0.21765380859375,0.04336870089173317,-0.02788529172539711,0.04369470477104187
1761915602408708900,0.227708984375,0.03977511078119278,0.00783614069223404,0.029589589685201645
1761915602418762800,0.2377626953125,0.02592960186302662,0.035725560039281845,0.010082732886075974
1761915602428817000,0.24781689453125,0.012481116689741611,0.037444036453962326,0.0005350513383746147
1761915602438870800,0.257870849609375,0.001106489566154778,0.02308187633752823,-0.01565403863787651
1761915602448924700,0.267924560546875,-0.003970037680119276,0.012591099366545677,-0.02906988561153412
1761915602458978600,0.277978515625,0.010816365480422974,0.013941588811576366,-0.033016156405210495
1761915602469032700,0.28803271484375,0.036218710243701935,0.02183300070464611,-0.02842259779572487
1761915602479086600,0.298086669921875,0.06001458689570427,0.028672264888882637,-0.010117627680301666
1761915602489140700,0.308140625,0.06776625663042068,0.010567162185907364,0.0034685973078012466
1761915602499195000,0.31819482421875,0.0728456974029541,-0.01652437448501587,0.004194309003651142
1761915602509248800,0.328248779296875,0.07231087982654572,-0.03769896924495697,-0.012079981155693531
1761915602519303000,0.338302978515625,0.0670119896531105,-0.05230667069554329,-0.025853585451841354
1761915602529356800,0.348356689453125,0.05619855597615242,-0.05697493255138397,-0.036710456013679504
1761915602539411700,0.35841162109375,0.04655817896127701,-0.053980205208063126,-0.03575917333364487
1761915602549465600,0.368465576171875,0.040335845202207565,-0.061094243079423904,-0.0069140661507844925
1761915602559519700,0.378519775390625,0.046357251703739166,-0.0654253363609314,0.03499583154916763
1761915602569573600,0.38857373046875,0.051617804914712906,-0.06987141817808151,0.09871159493923187
1761915602579627800,0.398627685546875,0.046732768416404724,-0.08901315927505493,0.16709837317466736
1761915602589681700,0.408681640625,0.034567829221487045,-0.10904832929372787,0.22045321762561798
1761915602599735800,0.41873583984375,0.02448989450931549,-0.11900988221168518,0.2513000965118408
1761915602609790000,0.4287900390625,0.016762511804699898,-0.12784117460250854,0.250412255525589
1761915602619843800,0.43884375,0.01863790862262249,-0.13737715780735016,0.2244722843170166
1761915602629897700,0.448897705078125,0.03391854092478752,-0.12785296142101288,0.18618988990783691
1761915602639951600,0.45895166015625,0.053556691855192184,-0.10094118863344193,0.1503211110830307
1761915602650005800,0.469005859375,0.05594969913363457,-0.08507213741540909,0.1280132234096527
1761915602660059600,0.4790595703125,0.050093408674001694,-0.07434013485908508,0.1174950823187828
1761915602670114800,0.48911474609375,0.04608983173966408,-0.03691314160823822,0.09167298674583435
1761915602680168700,0.499168701171875,0.04945873096585274,0.006531270686537027,0.050718098878860474
1761915602690222800,0.509222900390625,0.05002576857805252,0.024081174284219742,-0.00738928047940135
1761915602700276700,0.51927685546875,0.053108908236026764,0.003350595710799098,-0.06418385356664658
1761915602710330600,0.52933056640625,0.05367041006684303,-0.03132462874054909,-0.10761956870555878
1761915602720384800,0.539384765625,0.048454608768224716,-0.04722636193037033,-0.1207476258277893
1761915602730438700,0.549438720703125,0.037885747849941254,-0.022101765498518944,-0.1043001115322113
1761915602740492800,0.559492919921875,0.025120684877038002,0.017763890326023102,-0.06813625246286392
1761915602750546700,0.569546630859375,0.014313321560621262,0.05302651599049568,-0.025016510859131813
1761915602760600800,0.579600830078125,0.002027094829827547,0.05793791636824608,0.023090297356247902
1761915602770654700,0.58965478515625,-0.03319413214921951,0.003952337894588709,0.06440345197916031
1761915602780708900,0.599708984375,-0.0829627513885498,-0.07898382097482681,0.11349562555551529
1761915602790762800,0.6097626953125,-0.14271162450313568,-0.15762484073638916,0.16241520643234253
1761915602800817000,0.61981689453125,-0.19270528852939606,-0.20217207074165344,0.21961989998817444
1761915602810871800,0.629871826171875,-0.2308027595281601,-0.2752911448478699,0.27503493428230286
1761915602820925700,0.63992578125,-0.2578636705875397,-0.34643056988716125,0.3182865381240845
1761915602830979800,0.649979736328125,-0.26266586780548096,-0.3821069002151489,0.33321303129196167
1761915602841033700,0.66003369140625,-0.23758341372013092,-0.3303483724594116,0.3327754735946655
1761915602851088000,0.670087890625,-0.22538679838180542,-0.2606761157512665,0.325861394405365
1761915602861141800,0.680141845703125,-0.2608502507209778,-0.23736681044101715,0.34352773427963257
1761915602871196000,0.69019580078125,-0.35223230719566345,-0.38888490200042725,0.41248250007629395
1761915602881249800,0.700249755859375,-0.44871729612350464,-0.7144230604171753,0.49974414706230164
1761915602891303700,0.7103037109375,-0.5079830884933472,-1.0942233800888062,0.5563263893127441
1761915602901357600,0.720357666015625,-0.5145280957221985,-1.3673603534698486,0.5373095273971558
1761915602911411700,0.73041162109375,-0.4807111918926239,-1.4541099071502686,0.46338918805122375
1761915602921465600,0.740465576171875,-0.4345540702342987,-1.4427286386489868,0.37314051389694214
