
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.097082,-0.1065,0.3068,0.7124,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.197565,0.3596,0.3332,0.4554,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.297927,0.1397,0.2590,0.5062,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.397731,0.7525,-0.1280,0.3762,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.497719,0.8209,-0.4319,0.4994,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.598028,1.2206,-0.9176,0.4114,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.699237,1.3261,-1.0691,0.2707,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.799510,1.2802,-0.3469,0.5355,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.899752,0.5619,-0.5160,-0.5336,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.999544,0.9293,-0.5306,0.1094,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.100051,0.9205,-0.4534,0.0977,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.200443,1.0329,-0.5678,0.1094,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.301086,1.2968,-0.9547,0.0059,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.401537,0.8766,-0.5902,0.1212,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.502153,0.7955,-0.5863,0.0645,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.601887,0.6049,-0.4788,0.0752,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.703207,0.5336,-0.4026,0.0440,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.803756,0.6499,-0.3762,0.0498,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.904130,0.6968,-0.3596,0.0039,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.003590,0.8170,-0.3704,0.0459,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.104206,0.9098,-0.7573,-0.1016,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.205146,1.2870,-0.7837,0.3684,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.306385,0.7613,-0.3713,-0.0518,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.405786,0.5502,-0.2179,0.0889,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
