
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.099108,-0.0029,0.5091,0.6157,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.198380,-0.0469,0.4104,0.1915,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.298667,0.3342,-0.1290,0.7730,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.398383,0.4818,-0.1163,0.4495,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.498594,1.1824,-0.3596,0.8560,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.600148,1.3701,-0.2424,0.1612,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.700324,1.0114,-0.5023,0.2736,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.800537,1.6310,-0.8756,0.1085,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.901778,1.2518,-0.6342,0.4613,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.001643,0.7525,-0.5922,-0.0459,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.100860,0.6459,-0.3968,0.2199,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.201571,0.7339,-0.6469,0.4876,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.301735,0.7994,-0.7339,0.2717,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.402332,0.7564,-0.8385,0.2062,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.502238,0.6225,-0.7007,0.1378,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.603433,0.9303,-0.8336,-0.1300,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.703302,0.5736,-0.8150,0.0469,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.803209,0.7876,-0.7085,0.3508,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.904208,0.8033,-0.7886,0.3713,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.004657,0.8756,-0.6450,0.4007,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.110257,0.6694,-0.6489,0.2726,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.204509,0.6929,-0.6440,0.2199,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.305579,0.6606,-0.7828,0.1524,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.406744,0.6870,-0.9440,0.1231,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.508086,0.7163,-0.6176,0.5336,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.607532,0.6401,-0.7095,0.0244,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.707533,0.5326,-0.6029,-0.0606,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.808204,0.5013,-0.6782,0.1329,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.909719,0.5912,-0.7359,0.1319,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
