
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.101053,-0.1124,0.1085,0.8717,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.200749,-0.0704,0.4964,0.8062,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.301107,0.5560,0.0137,0.9176,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.402189,0.4925,-0.1163,0.7671,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.501207,0.5179,-0.0557,0.6948,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.601191,0.9205,-0.4779,0.4114,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.701133,1.3691,-0.9420,0.5961,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.801106,1.3222,-0.7319,0.8844,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.901306,0.7935,-0.0752,0.5424,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.002383,0.8971,-0.2042,0.4349,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.101956,1.3818,-0.4505,0.6811,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.201674,1.4707,-0.9313,0.2023,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.302189,1.2372,-0.9372,0.5971,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.402153,0.8111,-0.8619,-0.0264,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.502901,0.5238,-0.4671,-0.0176,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.604267,0.5101,-0.4769,0.0508,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.704226,0.7427,-0.6782,0.0547,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.803844,0.9684,-0.7359,0.0899,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.905881,1.1991,-0.5854,0.5130,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.005190,0.8267,-0.3870,0.2238,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.105343,0.9518,-0.4485,0.2687,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.206134,0.9557,-0.3235,0.5179,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.306461,1.0544,-0.4290,0.3235,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.407010,1.3046,-0.4632,0.4319,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.507307,0.8199,-0.5179,0.2238,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.607258,0.8287,-0.5727,0.2287,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.708618,0.7046,-0.5727,0.2072,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.808276,0.5717,-0.4769,0.0909,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.911018,0.7046,-0.6166,0.0420,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.010389,1.1150,-0.9430,0.0371,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.110306,0.8619,-0.2658,0.4915,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.210496,0.9596,-0.4622,0.1573,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.311883,0.8101,-0.3850,0.1524,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.411736,0.9000,-0.4466,0.2472,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.511411,0.9675,-0.4974,0.2766,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.611791,1.1521,-0.6762,0.2091,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.711666,0.8297,-0.5033,0.4124,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.812768,0.9176,-0.5824,0.3088,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.913259,0.9049,-0.6117,0.2824,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.013575,0.8414,-0.6254,0.2814,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.114007,0.6626,-0.5414,0.1622,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.214418,0.6626,-0.5453,0.1222,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.314749,0.8521,-0.6489,0.0596,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.415189,0.7798,-0.3860,0.2668,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.515541,1.2411,-0.8160,0.2296,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.615854,0.8512,-0.4036,0.3889,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.716593,1.0867,-0.4290,0.2042,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.816939,1.4639,-0.5883,1.2460,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.917378,0.8961,-0.5502,1.0789,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.017759,0.3684,-0.3801,0.9772,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.118042,0.1163,-0.0264,0.6137,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.218152,0.4026,0.1857,0.5209,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.318752,-0.0410,0.2922,0.8824,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.419106,0.0655,0.4310,0.6508,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.518640,0.0430,0.3078,0.9069,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.618499,0.2795,0.4270,0.8668,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
