
time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
5.217643,-0.0704,0.2639,0.9626,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.318569,-0.0723,0.2668,0.9811,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.419270,-0.0782,0.2590,0.9743,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.518150,-0.0694,0.2805,0.9528,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.618985,-0.0752,0.2707,0.9635,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.719601,-0.0625,0.2746,0.9528,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.820279,-0.0743,0.2746,0.9596,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.919998,-0.0596,0.2795,0.9753,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.022838,-0.0752,0.2726,0.9733,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.122867,-0.0880,0.2629,0.9430,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.223770,-0.0792,0.2609,0.9499,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.323449,-0.0762,0.2590,0.9626,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.423874,-0.0997,0.2766,0.9245,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.523321,-0.0792,0.3020,0.9391,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
