time,seconds_elapsed,z,y,x
1761915624813190100,0.066190185546875,-0.9471893310546875,-0.179534912109375,0.0411834716796875
1761915624823244300,0.076244384765625,-0.9660491943359375,-0.18817138671875,0.0476837158203125
1761915624833298200,0.086298095703125,-0.9878692626953125,-0.1906280517578125,0.051971435546875
1761915624843352300,0.096352294921875,-0.9902496337890625,-0.1829376220703125,0.055419921875
1761915624853406200,0.10640625,-0.9825439453125,-0.174591064453125,0.054443359375
1761915624863460400,0.11646044921875,-0.975677490234375,-0.172271728515625,0.055419921875
1761915624873514200,0.12651416015625,-0.97784423828125,-0.175872802734375,0.0629425048828125
1761915624883569200,0.136569091796875,-0.98919677734375,-0.18212890625,0.0712738037109375
1761915624893623300,0.146623291015625,-0.994384765625,-0.1930084228515625,0.0745849609375
1761915624903677200,0.15667724609375,-0.986297607421875,-0.200164794921875,0.0711822509765625
1761915624913731300,0.1667314453125,-0.976593017578125,-0.2014312744140625,0.0636749267578125
1761915624923785200,0.17678515625,-0.9690399169921875,-0.201507568359375,0.0547332763671875
1761915624933839400,0.18683935546875,-0.9702606201171875,-0.198883056640625,0.0450439453125
1761915624943893200,0.196893310546875,-0.967926025390625,-0.1941986083984375,0.042724609375
1761915624953947400,0.206947509765625,-0.9663848876953125,-0.197174072265625,0.0387115478515625
1761915624964001300,0.217001220703125,-0.9636688232421875,-0.2012176513671875,0.035675048828125
1761915624974055200,0.22705517578125,-0.9543304443359375,-0.202880859375,0.0319061279296875
1761915624984109000,0.237109130859375,-0.945098876953125,-0.1973876953125,0.0218658447265625
1761915624994163200,0.2471630859375,-0.944549560546875,-0.187164306640625,0.01776123046875
1761915625004217300,0.25721728515625,-0.954742431640625,-0.1767425537109375,0.01922607421875
1761915625014271200,0.267271240234375,-0.967529296875,-0.171966552734375,0.020477294921875
1761915625024325400,0.277325439453125,-0.97186279296875,-0.1764068603515625,0.021575927734375
1761915625034379300,0.287379150390625,-0.9709320068359375,-0.1802825927734375,0.0262603759765625
1761915625044429000,0.297428955078125,-0.9797210693359375,-0.183624267578125,0.025543212890625
1761915625054483000,0.30748291015625,-0.9893951416015625,-0.182525634765625,0.0164642333984375
1761915625064538000,0.3175380859375,-0.99249267578125,-0.171356201171875,0.0187225341796875
1761915625074592000,0.327592041015625,-0.9963836669921875,-0.1605377197265625,0.01507568359375
1761915625084646000,0.33764599609375,-0.9944305419921875,-0.149688720703125,0.0128173828125
1761915625094700000,0.347699951171875,-0.995269775390625,-0.1456146240234375,0.0085296630859375
1761915625104754000,0.35775390625,-0.99420166015625,-0.1465911865234375,0.0039520263671875
1761915625114808000,0.36780810546875,-0.9877471923828125,-0.1501312255859375,0.0035247802734375
1761915625124862000,0.377862060546875,-0.9842071533203125,-0.15423583984375,0.0006561279296875
1761915625134916000,0.387916015625,-0.9909210205078125,-0.15374755859375,0.0058441162109375
1761915625144970000,0.397969970703125,-0.995361328125,-0.15625,0.0099334716796875
1761915625155024100,0.408024169921875,-0.993499755859375,-0.15899658203125,0.0046844482421875
1761915625165078000,0.418078125,-0.99102783203125,-0.15582275390625,-0.0022430419921875
1761915625175132200,0.428132080078125,-0.9913330078125,-0.1507568359375,0.0048370361328125
1761915625185185800,0.438185791015625,-0.9791717529296875,-0.151336669921875,0.006011962890625
1761915625195240000,0.448239990234375,-0.968231201171875,-0.15753173828125,0.0010223388671875
1761915625205294000,0.458294189453125,-0.9653472900390625,-0.162017822265625,-0.0010833740234375
1761915625215348000,0.468347900390625,-0.9600830078125,-0.1617584228515625,0.0051116943359375
1761915625225402000,0.478402099609375,-0.954833984375,-0.1653594970703125,0.01177978515625
1761915625235457000,0.48845703125,-0.95184326171875,-0.184814453125,0.0102386474609375
1761915625245511200,0.49851123046875,-0.9483642578125,-0.20172119140625,0.011444091796875
1761915625255565000,0.50856494140625,-0.9557952880859375,-0.22637939453125,0.0211029052734375
1761915625265619000,0.518618896484375,-0.9564971923828125,-0.2457427978515625,0.0054168701171875
1761915625275672800,0.5286728515625,-0.9322509765625,-0.245941162109375,-0.0467376708984375
1761915625285727000,0.53872705078125,-0.9151611328125,-0.21136474609375,-0.073822021484375
1761915625295781000,0.548781005859375,-0.9443359375,-0.169189453125,-0.0685882568359375
1761915625305835000,0.5588349609375,-0.986968994140625,-0.148223876953125,-0.0467071533203125
1761915625315889200,0.56888916015625,-0.9975433349609375,-0.1494140625,-0.0277252197265625
1761915625325943000,0.578943115234375,-0.9863128662109375,-0.15972900390625,-0.0245361328125
1761915625335997200,0.5889970703125,-0.9708099365234375,-0.1869964599609375,-0.0333404541015625
